Month,Funded_Amnt_Cum,Funded_Amnt_Monthly,Total_Rec_Payment,Total_Payment_Monthly,Difference_Amount
2007-06,91850,91850,103711,103711,-11861
2007-07,423950,332100,452870,349159,-28920
2007-08,912550,488600,940349,487479,-27799
2007-09,1285500,372950,1318937,378588,-33437
2007-10,1968375,682875,1984635,665698,-16260
2007-11,2964325,995950,2925780,941144,38545
2007-12,4791550,1827225,4721977,1796197,69573
2008-01,7693800,2902250,7500690,2778713,193110
2008-02,10645025,2951225,10497473,2996784,147552
2008-03,14795075,4150050,14674229,4176756,120846
2008-04,16606100,1811025,16590214,1915984,15886
2008-05,17188100,582000,17207771,617557,-19671
2008-06,17843075,654975,17875959,668189,-32884
2008-07,18652325,809250,18695017,819057,-42692
2008-08,19120775,468450,19204197,509181,-83422
2008-09,19391725,270950,19491504,287307,-99779
2008-10,20337125,945400,20471717,980213,-134592
2008-11,22345800,2008675,22481307,2009590,-135507
2008-12,24766575,2420775,25056997,2575691,-290422
2009-01,27236275,2469700,27688238,2631241,-451963
2009-02,29945225,2708950,30651441,2963203,-706216
2009-03,33006525,3061300,34009799,3358357,-1003274
2009-04,36077875,3071350,37276725,3266926,-1198850
2009-05,39429125,3351250,40890440,3613715,-1461315
2009-06,43021050,3591925,44726100,3835660,-1705050
2009-07,46897175,3876125,48876206,4150105,-1979031
2009-08,51213250,4316075,53558146,4681940,-2344896
2009-09,56316525,5103275,59078497,5520351,-2761972
2009-10,62605975,6289450,65706467,6627970,-3100492
2009-11,69454850,6848875,73068564,7362098,-3613714
2009-12,76581325,7126475,80979987,7911423,-4398662
2010-01,83967275,7385950,89039741,8059754,-5072466
2010-02,91424250,7456975,97300617,8260876,-5876367
2010-03,100089000,8664750,106889472,9588855,-6800472
2010-04,109599575,9510575,117324498,10435026,-7724923
2010-05,119643825,10044250,128264412,10939914,-8620587
2010-06,129682800,10038975,139579970,11315558,-9897170
2010-07,141200400,11517600,152702639,13122669,-11502239
2010-08,153222175,12021775,166415965,13713326,-13193790
2010-09,165261850,12039675,179904640,13488675,-14642790
2010-10,177907025,12645175,194083506,14178866,-16176481
2010-11,189547075,11640050,206806903,12723397,-17259828
2010-12,202932500,13385425,221746955,14940052,-18814455
2011-01,217750275,14817775,238268256,16521301,-20517981
2011-02,232351550,14601275,254792309,16524053,-22440759
2011-03,248881400,16529850,273408056,18615747,-24526656
2011-04,266401400,17520000,292777824,19369767,-26376424
2011-05,284933075,18531675,313319050,20541226,-28385975
2011-06,304945100,20012025,335612342,22293292,-30667242
2011-07,325510700,20565600,358233574,22621232,-32722874
2011-08,348528575,23017875,383953274,25719701,-35424699
2011-09,373473975,24945400,410938401,26985126,-37464426
2011-10,400956525,27482550,441148587,30210186,-40192062
2011-11,429289125,28332600,471694512,30545926,-42405387
2011-12,460296150,31007025,505375218,33680706,-45079068
2012-01,494296725,34000575,541809874,36434656,-47513149
2012-02,530354900,36058175,580388868,38578994,-50033968
2012-03,569891200,39536300,623105282,42716414,-53214082
2012-04,611942325,42051125,668548638,45443356,-56606313
2012-05,657033150,45090825,716838464,48289826,-59805314
2012-06,707245100,50211950,770515022,53676558,-63269922
2012-07,767312925,60067825,835345800,64830778,-68032875
2012-08,837391575,70078650,910790834,75445034,-73399259
2012-09,914419325,77027750,994174143,83383309,-79754818
2012-10,996451975,82032650,1082899257,88725113,-86447282
2012-11,1084148325,87696350,1177667177,94767920,-93518852
2012-12,1178238775,94090450,1278247972,100580795,-100009197
2013-01,1283313150,105074375,1389516465,111268494,-106203315
2013-02,1403484525,120171375,1514705431,125188965,-111220906
2013-03,1531124175,127639650,1646079759,131374328,-114955584
2013-04,1671249950,140125775,1787272658,141192899,-116022708
2013-05,1819286425,148036475,1933911479,146638821,-114625054
2013-06,1977349550,158063125,2088134321,154222842,-110784771
2013-07,2148126375,170776825,2251105617,162971297,-102979242
2013-08,2328159050,180032675,2419569096,168463478,-91410046
2013-09,2516068550,187909500,2591059414,171490319,-74990864
2013-10,2720646550,204578000,2773916167,182856752,-53269617
2013-11,2936057150,215410600,2962363922,188447755,-26306772
2013-12,3160222275,224165125,3153507771,191143850,6714504
2014-01,3392937600,232715325,3345583591,192075819,47354009
2014-02,3623024525,230086925,3526405204,180821613,96619321
2014-03,3868787325,245762800,3713955912,187550708,154831413
2014-04,4149966900,281179575,3919195879,205239968,230771021
2014-05,4430628500,280661600,4114559863,195363983,316068637
2014-06,4686527375,255898875,4284862301,170302439,401665074
2014-07,5119572100,433044725,4559720354,274858053,559851746
2014-08,5400999075,281426975,4731282533,171562178,669716542
2014-09,5560443250,159444175,4822345679,91063146,738097571
2014-10,6132194225,571750975,5125666147,303320468,1006528078
2014-11,6505660875,373466650,5308809015,183142869,1196851860
2014-12,6664052450,158391575,5381248874,72439858,1282803576
2015-01,7197185025,533132575,5607483068,226234194,1589701957
2015-02,7564093550,366908525,5747311430,139828362,1816782120
2015-03,7954096825,390003275,5882405318,135093888,2071691507
2015-04,8493497900,539401075,6049125842,166720525,2444372058
2015-05,8976687375,483189475,6183483234,134357392,2793204141
2015-06,9406464550,429777175,6289079689,105596455,3117384861
2015-07,10102703150,696238600,6430516591,141436902,3672186559
2015-08,10658034550,555331400,6522931024,92414433,4135103526
2015-09,11108281350,450246800,6584557529,61626505,4523723821
2015-10,11846502750,738221400,6655394439,70836910,5191108311
2015-11,12413750075,567247325,6690254352,34859913,5723495723
2015-12,13081632625,667882550,6707544064,17289711,6374088561
